prime,target,condition,thisN,thisTrialN,thisRepN,prResponse.keys,prResponse.rt,prResponse.duration,response.keys,response.rt,response.duration,prTrials.thisRepN,prTrials.thisTrialN,prTrials.thisN,prTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,instructions2Disp.started,key_resp_2.started,instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions2.started,text.started,key_resp_3.started,instructions2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,instructions3.started,text_2.started,key_resp_4.started,instructions3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,instructions4.started,text_3.started,key_resp_5.started,instructions4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,instructions5.started,text_4.started,key_resp_6.started,instructions5.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,instructions6.started,text_5.started,key_resp_7.started,instructions6.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,instructions7.started,text_6.started,key_resp_8.started,instructions7.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instructions8.started,text_7.started,key_resp_9.started,instructions8.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,prFixation.started,prFixationDisp.started,prFixationDisp.stopped,prFixation.stopped,prPrime.started,prPrimeDisp.started,prPrimeDisp.stopped,prPrime.stopped,prTarget.started,prTargetDisp.started,prResponse.started,prTarget.stopped,prTrials.prResponse.keys,prTrials.prResponse.rt,prTrials.prResponse.duration,ready.started,readyDisp.started,key_resp.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,fixation.started,fixationDisp.started,fixationDisp.stopped,fixation.stopped,expPrime.started,primeDisp.started,primeDisp.stopped,expPrime.stopped,expTarget.started,targetDisp.started,response.started,expTarget.stopped,trials.response.keys,trials.response.rt,trials.response.duration,complete.started,completeMessage.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
outside,tecopomic ,practice,2,2,0,f,0.5485832500271499,None,,,,0,2,2,5,,,,,23.297632250003517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.29208733397536,23.788914792006835,24.78052933397703,24.774372916901484,24.776783166918904,24.787877624854445,25.28013020893559,25.27441579196602,25.276583458995447,25.288124333834276,25.288124333834276,25.841582083841786,f,0.5485832500271499,None,,,,,,,,,,,,,,,,,,,,,,,,,sample-data,001,2025-09-08_10h40.30.086,English1-LDT,2024.2.4,None,2025-09-08 10h40.47.729002 +0800,
schoolwork,comb ,practice,3,3,0,j,0.77139558410272,None,,,,0,3,3,0,,,,,25.847606499912217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.84179141698405,26.338897167006508,27.330703833838925,27.3247498748824,27.32710820902139,27.337867124937475,27.829969958867878,27.82428462500684,27.826487333979458,27.83883879194036,27.83883879194036,28.61387991695665,j,0.77139558410272,None,,,,,,,,,,,,,,,,,,,,,,,,,sample-data,001,2025-09-08_10h40.30.086,English1-LDT,2024.2.4,None,2025-09-08 10h40.47.729002 +0800,
rent,sunkay ,practice,4,4,0,f,0.6388494169805199,None,,,,0,4,4,6,,,,,28.621181834023446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.614097916986793,29.111213624943048,30.104744291864336,30.097076541977003,30.099206333979964,30.110853541875258,30.605386124923825,30.596316959010437,30.59838008391671,30.61126391682774,30.61126391682774,31.258202417055145,f,0.6388494169805199,None,,,,,,,,,,,,,,,,,,,,,,,,,sample-data,001,2025-09-08_10h40.30.086,English1-LDT,2024.2.4,None,2025-09-08 10h40.47.729002 +0800,
memorize,vocabulary word ,practice,5,5,0,j,0.6057590001728386,None,,,,0,5,5,3,,,,,31.264442458981648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.258401833940297,31.755436166888103,32.747336209053174,32.740880666999146,32.744962374912575,32.75455058389343,33.24678604188375,33.24100054195151,33.243278541835025,33.25466520898044,33.25466520898044,33.86409612488933,j,0.6057590001728386,None,,,,,,,,,,,,,,,,,,,,,,,,,sample-data,001,2025-09-08_10h40.30.086,English1-LDT,2024.2.4,None,2025-09-08 10h40.47.729002 +0800,
celebration,trammick ,practice,6,6,0,f,0.6683067500125617,None,,,,0,6,6,1,,,,,33.87108154199086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.86432170891203,34.36126683396287,35.354655666975304,35.346892499830574,35.34918725001626,35.359921999974176,35.855317584006116,35.846244249958545,35.848618124844506,35.861536792013794,35.861536792013794,36.53050333401188,f,0.6683067500125617,None,,,,,,,,,,,,,,,,,,,,,,,,,sample-data,001,2025-09-08_10h40.30.086,English1-LDT,2024.2.4,None,2025-09-08 10h40.47.729002 +0800,
elephant,zaluke ,practice,7,7,0,f,0.8373789580073208,None,,,,0,7,7,8,,,,,36.53776600002311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.530618083896115,37.0273098340258,38.021110584028065,38.01346633397043,38.01605216693133,38.0271072499454,38.521682041930035,38.513448250014335,38.515522917034104,38.52783612487838,38.52783612487838,39.37502729194239,f,0.8373789580073208,None,,,,,,,,,,,,,,,,,,,,,,,,,sample-data,001,2025-09-08_10h40.30.086,English1-LDT,2024.2.4,None,2025-09-08 10h40.47.729002 +0800,
effect,country ,practice,8,8,0,j,0.6795017919503152,None,,,,0,8,8,2,,,,,39.38106058398262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.37524366704747,39.872074499959126,40.86325591686182,40.8574893749319,40.85958716692403,40.87122920900583,41.36325749987736,41.35772449988872,41.359732708893716,41.37123854202218,41.37123854202218,42.05847691698,j,0.6795017919503152,None,,,,,,,,,,,,,,,,,,,,,,,,,sample-data,001,2025-09-08_10h40.30.086,English1-LDT,2024.2.4,None,2025-09-08 10h40.47.729002 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.05864316690713,42.06575437495485,42.06575437495485,43.37484941701405,space,1.30542670795694,None,,,,,,,,,,,,,,,,,,sample-data,001,2025-09-08_10h40.30.086,English1-LDT,2024.2.4,None,2025-09-08 10h40.47.729002 +0800,
prejudice,discrimination ,A,0,0,0,,,,j,0.7001910409890115,None,,,,,0,0,0,1,43.39378208387643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.38927783397958,43.87187454197556,44.8637453338597,44.85798533400521,44.86031633382663,44.870953124947846,45.36369987484068,45.35788358398713,45.36030708393082,45.37094620894641,45.37094620894641,46.075559791876,j,0.7001910409890115,None,,,sample-data,001,2025-09-08_10h40.30.086,English1-LDT,2024.2.4,None,2025-09-08 10h40.47.729002 +0800,
thought,hospital ,B,1,1,0,,,,j,0.7443160838447511,None,,,,,0,1,1,39,46.08221637504175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.07583570899442,46.571840999880806,47.56338162487373,47.557435624999925,47.55968991690315,47.5709894169122,48.063360624946654,48.0578665419016,48.06004766700789,48.07101033395156,48.07101033395156,48.8246761248447,j,0.7443160838447511,None,,,sample-data,001,2025-09-08_10h40.30.086,English1-LDT,2024.2.4,None,2025-09-08 10h40.47.729002 +0800,
